更新时间: 2026-03-24 02:34:15（北京时间）

更新时间,#genre#
2026-03-24 02:34:15,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
辽宁卫视,http://144.255.40.221:7788/rtp/239.21.1.164:5002$山东电信
辽宁卫视,http://171.120.189.21:89/rtp/226.0.2.173:9296$山西联通
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
黑龙江卫视,http://113.102.83.19:4022/rtp/239.77.0.93:5146$广东电信
黑龙江卫视,http://144.255.40.221:7788/rtp/239.21.1.28:5002$山东电信
黑龙江卫视,http://171.120.189.21:89/rtp/226.0.2.151:9120$山西联通
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
吉林卫视,http://113.102.83.19:4022/rtp/239.77.1.111:5146$广东电信
吉林卫视,http://144.255.40.221:7788/rtp/239.21.2.49:5002$山东电信
吉林卫视,http://171.120.189.21:89/rtp/226.0.2.199:9504$山西联通
内蒙古卫视,http://113.102.83.19:4022/rtp/239.77.0.70:5146$广东电信
宁夏卫视,http://113.102.83.19:4022/rtp/239.77.0.49:5146$广东电信
宁夏卫视,http://113.102.83.19:4022/rtp/239.77.0.73:5146$广东电信
山西卫视,http://113.102.83.19:4022/rtp/239.77.0.69:5146$广东电信
山西卫视,http://171.120.189.21:89/rtp/226.0.2.11:8000$山西联通
山西卫视,http://171.120.189.21:89/rtp/226.0.2.152:9128$山西联通
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
陕西卫视,http://113.102.83.19:4022/rtp/239.77.1.54:5146$广东电信
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
甘肃卫视,http://113.102.83.19:4022/rtp/239.77.0.189:5146$广东电信
甘肃卫视,http://113.102.83.19:4022/rtp/239.77.1.57:5146$广东电信
甘肃卫视,http://144.255.40.221:7788/rtp/239.21.2.22:5002$山东电信
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
青海卫视,http://113.102.83.19:4022/rtp/239.253.43.125:5146$广东电信
青海卫视,http://144.255.40.221:7788/rtp/239.21.2.51:5002$山东电信
新疆卫视,http://113.102.83.19:4022/rtp/239.77.0.47:5146$广东电信
新疆卫视,http://171.120.189.21:89/rtp/226.0.2.67:8448$山西联通
西藏卫视,http://113.102.83.19:4022/rtp/239.77.1.26:5146$广东电信
西藏卫视,http://113.102.83.19:4022/rtp/239.77.0.74:5146$广东电信
